,Amazon,Philips,Cab,WiFi,Omna,Somfy
Amazon,229.0,0.0,16.0,0.0,0.0,1.0
Philips,0.0,697.0,6.0,0.0,0.0,0.0
Cab,15.0,3.0,595.0,14.0,0.0,15.0
WiFi,0.0,0.0,1.0,141.0,0.0,3.0
Omna,0.0,0.0,0.0,0.0,40.0,4.0
Somfy,5.0,0.0,44.0,3.0,0.0,602.0
