,Amazon,Philips,Cab,WiFi,Omna,Somfy
Amazon,409.0,3.0,43.0,0.0,1.0,14.0
Philips,0.0,1227.0,16.0,3.0,0.0,5.0
Cab,72.0,33.0,932.0,48.0,2.0,148.0
WiFi,0.0,2.0,44.0,226.0,0.0,24.0
Omna,0.0,0.0,6.0,0.0,73.0,4.0
Somfy,22.0,6.0,130.0,13.0,1.0,1072.0
