,Amazon,Philips,Cab,WiFi,Omna,Somfy
Amazon,281.0,5.0,22.0,0.0,0.0,73.0
Philips,0.0,1198.0,7.0,0.0,0.0,1.0
Cab,17.0,24.0,725.0,55.0,0.0,180.0
WiFi,0.0,3.0,15.0,193.0,0.0,11.0
Omna,1.0,0.0,1.0,0.0,71.0,2.0
Somfy,24.0,2.0,170.0,7.0,0.0,856.0
