,Amazon,Philips,Cab,WiFi,Omna,Somfy
Amazon,172.0,0.0,13.0,0.0,0.0,28.0
Philips,0.0,672.0,11.0,0.0,0.0,1.0
Cab,8.0,9.0,450.0,22.0,0.0,92.0
WiFi,0.0,1.0,8.0,135.0,0.0,2.0
Omna,0.0,0.0,5.0,0.0,40.0,4.0
Somfy,22.0,1.0,101.0,4.0,0.0,462.0
