,Amazon,Philips,Cab,WiFi,Omna,Somfy
Amazon,420.0,0.0,20.0,0.0,0.0,3.0
Philips,0.0,1228.0,10.0,0.0,0.0,0.0
Cab,15.0,8.0,1061.0,28.0,0.0,40.0
WiFi,0.0,0.0,20.0,229.0,0.0,11.0
Omna,0.0,0.0,0.0,0.0,71.0,5.0
Somfy,11.0,0.0,72.0,10.0,0.0,1109.0
