,Amazon,Philips,Cab,WiFi,Omna,Somfy
Amazon,230.0,0.0,17.0,0.0,0.0,0.0
Philips,0.0,696.0,6.0,0.0,0.0,0.0
Cab,11.0,4.0,593.0,13.0,0.0,15.0
WiFi,0.0,0.0,1.0,140.0,0.0,4.0
Omna,0.0,0.0,0.0,0.0,40.0,5.0
Somfy,5.0,0.0,45.0,0.0,0.0,608.0
