device,ipFlow,uniqueIps,subnetIps,externalIps,ipVariance,length_0,entropy_0,TCP_0,UDP_0,HTTPS_0,hdrLen_0,commonSrc_0,commonDst_0,HTTP_0,IPv6_0,ICMP_0,DHCP_0,length_1,entropy_1,TCP_1,UDP_1,HTTPS_1,hdrLen_1,commonSrc_1,commonDst_1,HTTP_1,IPv6_1,ICMP_1,DHCP_1,length_2,entropy_2,TCP_2,UDP_2,HTTPS_2,hdrLen_2,commonSrc_2,commonDst_2,HTTP_2,IPv6_2,ICMP_2,DHCP_2,length_3,entropy_3,TCP_3,UDP_3,HTTPS_3,hdrLen_3,commonSrc_3,commonDst_3,HTTP_3,IPv6_3,ICMP_3,DHCP_3,length_4,entropy_4,TCP_4,UDP_4,HTTPS_4,hdrLen_4,commonSrc_4,commonDst_4,HTTP_4,IPv6_4,ICMP_4,DHCP_4,length_5,entropy_5,TCP_5,UDP_5,HTTPS_5,hdrLen_5,commonSrc_5,commonDst_5,HTTP_5,IPv6_5,ICMP_5,DHCP_5,length_6,entropy_6,TCP_6,UDP_6,HTTPS_6,hdrLen_6,commonSrc_6,commonDst_6,HTTP_6,IPv6_6,ICMP_6,DHCP_6
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.5837641683411414,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343.0,-3.582520935007744,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343,-3.5825449615093286,1,0,1,32,1,0,0,0,0,0,4343,-3.583311364959378,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,2426,-3.5787600701681224,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,1508,-3.5829086367284213,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,1364,-3.5814864194086473,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,1460.0,-3.582291692422473,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,1412,-3.5801326306059553,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,1412,-3.58333569316942,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,1220,-3.577128526855235,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,1220.0,-3.572523517261495,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,1364,-3.5772214665694455,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,1028,-3.577259490059027,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,1076.0,-3.573072378524098,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,1124,-3.5771639935075226,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,1172,-3.5722852018996405,1,0,1,32,1,0,0,0,0,0,1076,-3.577754989239248,1,0,1,32,1,0,0,0,0,0,1076,-3.5783297076802754,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,980,-3.57456443949326,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,1028,-3.5654799695870176,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,980.0,-3.571603806793577,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,1028,-3.5675589366769653,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,1076,-3.582483584870681,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,980,-3.5767474760887192,1,0,1,32,1,0,0,0,0,0,1028.0,-3.575371414222379,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,980.0,-3.5812394763942224,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,980,-3.5778223318805478,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,1028.0,-3.5717789475393245,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,932.0,-3.5728962980156465,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,980,-3.5691306959490583,1,0,1,32,1,0,0,0,0,0,980,-3.5765044322992074,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,980,-3.5768898456745064,1,0,1,32,1,0,0,0,0,0,980,-3.5759682066098155,1,0,1,32,1,0,0,0,0,0,1028,-3.5717789475393245,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,458,-2.9860228347965583,1,0,1,32,0,1,0,0,0,0
