activation,learning_rate,batch_epochs,Accuracy
relu,0.01,10,94.72470498412436
relu,0.01,20,93.17129015186497
relu,0.001,10,94.68506250545352
relu,0.001,20,95.05058871965736
tanh,0.01,10,92.48600806358384
tanh,0.01,20,90.18601091922122
tanh,0.001,10,93.47975737802828
tanh,0.001,20,93.68761506405076
